Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K
1,116200000000000,0,1731e16,4644e15,2071e14,0.001065,0,0,1037.18,293.66
2,105400000000000,0,1571e16,4214e15,1879e14,9.664e-4,0,0,1037.18,287.9
3,95220000000000,0,1419e16,3806e15,1697e14,8.729e-4,0,0,1037.18,282.89
4,85770000000000,0,1278e16,3429e15,1529e14,7.863e-4,0,0,1037.18,278.19
5,77140000000000,0,115e17,3084e15,1375e14,7.073e-4,0,0,1037.18,273.41
6,69370000000000,0,1034e16,2773e15,1236e14,6.36e-4,0,0,1037.18,268.2
7,62400000000000,0,9299e15,2495e15,1112e14,5.721e-4,0,0,1037.18,262.27
8,56200000000000,0,8374e15,2247e15,1002e14,5.152e-4,0,0,1037.18,255.42
9,50670000000000,0,7551e15,2026e15,9032e13,4.646e-4,0,0,1037.18,247.49
10,45740000000000,0,6816e15,1828e15,8152e13,4.193e-4,0,0,1037.18,238.44
11,41260000000000,0,6149e15,165e16,7355e13,3.783e-4,0,0,1037.18,228.53
12,37030000000000,0,5518e15,148e16,66e15,3.395e-4,0,0,1037.18,218.81
13,32900000000000,0,4903e15,1315e15,5864e13,3.016e-4,0,0,1037.18,210.23
14,28850000000000,0,4299e15,1153e15,5142e13,2.645e-4,0,0,1037.18,203.46
15,24920000000000,0,3713e15,9961e14,4441e13,2.284e-4,0,0,1037.18,199.02
16,21190000000000,0,3158e15,8471e14,3777e13,1.943e-4,0,0,1037.18,197.18
17,17820000000000,0,2656e15,7124e14,3177e13,1.634e-4,0,0,1037.18,197.43
18,14890000000000,0,2219e15,5953e14,2654e13,1.365e-4,0,0,1037.18,199.17
19,12410000000000,0,1849e15,4961e14,2212e13,1.138e-4,0,0,1037.18,201.84
20,10350000000000,0,1543e15,4138e14,1845e13,9.491e-5,0,0,1037.18,204.87
21,8666000000000,0,1291e15,3464e14,1545e13,7.945e-5,0,0,1037.18,207.73
22,7279000000000,0,1085e15,291e15,1298e13,6.674e-5,0,0,1037.18,210.34
23,6134000000000,0,9141e14,2452e14,1093e13,5.624e-5,0,0,1037.18,212.74
24,5183000000000,0,7723e14,2072e14,9238e12,4.752e-5,0,0,1037.18,214.98
25,4389000000000,0,654e15,1755e14,7823e12,4.024e-5,0,0,1037.18,217.1
26,3724000000000,0,5549e14,1489e14,6638e12,3.414e-5,0,0,1037.18,219.16
27,3165000000000,0,4716e14,1265e14,5641e12,2.901e-5,0,0,1037.18,221.22
28,2693000000000,0,4013e14,1076e14,48e14,2.469e-5,0,0,1037.18,223.35
29,2294000000000,0,3418e14,9169e13,4088e12,2.103e-5,0,0,1037.18,225.61
30,1955000000000,0,2913e14,7816e13,3485e12,1.793e-5,0,0,1037.18,228.08
31,1668000000000,0,2485e14,6667e13,2972e12,1.529e-5,0,0,1037.18,230.84
32,1423000000000,0,2121e14,5689e13,2536e12,1.305e-5,0,0,1037.18,233.98
33,1215000000000,0,1811e14,4858e13,2166e12,1.114e-5,0,0,1037.18,237.51
34,1041000000000,0,1551e14,416e14,1855e12,9.541e-6,0,0,1037.18,240.88
35,894100000000,0,1332e14,3574e13,1594e12,8.197e-6,0,0,1037.18,243.99
36,770400000000,0,1148e14,308e14,1373e12,7.063e-6,0,0,1037.18,246.86
37,665600000000,0,9919e13,2661e13,1186e12,6.103e-6,0,0,1037.18,249.48
38,576500000000,0,8591e13,2305e13,1028e12,5.285e-6,0,0,1037.18,251.86
39,500400000000,0,7457e13,2e16,891900000000000,4.588e-6,0,0,1037.18,254.02
40,435200000000,0,6485e13,174e14,775800000000000,3.99e-6,0,0,1037.18,255.98
41,379200000000,0,5651e13,1516e13,675900000000000,3.477e-6,0,0,1037.18,257.75
42,330900000000,0,4931e13,1323e13,589800000000000,3.034e-6,0,0,1037.18,259.35
43,289200000000,0,4309e13,1156e13,515500000000000,2.651e-6,0,0,1037.18,260.8
44,253000000000,0,377e14,1012e13,451000000000000,2.32e-6,0,0,1037.18,262.14
45,221600000000,0,3302e13,886e13,395000000000000,2.032e-6,0,0,1037.18,263.38
46,194300000000,0,2895e13,7767e12,346300000000000,1.781e-6,0,0,1037.18,264.54
47,170500000000,0,2541e13,6817e12,303900000000000,1.563e-6,0,0,1037.18,265.58
48,149800000000,0,2233e13,599e13,267100000000000,1.374e-6,0,0,1037.18,266.44
49,131800000000,0,1964e13,527e13,235000000000000,1.209e-6,0,0,1037.18,267.07
50,116100000000,0,173e14,4642e12,207000000000000,1.065e-6,0,0,1037.18,267.42
51,102400000000,0,1527e13,4095e12,182600000000000,9.392e-7,0,0,1037.18,267.44
52,90500000000,0,1349e13,3618e12,161300000000000,8.297e-7,0,0,1037.18,267.06
53,80060000000,0,1193e13,32e14,142700000000000,7.34e-7,0,0,1037.18,266.25
54,70920000000,0,1057e13,2835e12,126400000000000,6.502e-7,0,0,1037.18,264.97
55,62900000000,0,9373e12,2515e12,112100000000000,5.767e-7,0,0,1037.18,263.17
56,55850000000,0,8323e12,2233e12,99550000000000,5.121e-7,0,0,1037.18,260.85
57,49620000000,0,7395e12,1984e12,88450000000000,4.549e-7,0,0,1037.18,258.08
58,44090000000,0,657e13,1763e12,78590000000000,4.042e-7,0,0,1037.18,254.96
59,39160000000,0,5835e12,1565e12,69800000000000,3.59e-7,0,0,1037.18,251.56
60,34750000000,0,5178e12,1389e12,61940000000000,3.186e-7,0,0,1037.18,247.98
61,30800000000,0,4589e12,1231e12,54900000000000,2.824e-7,0,0,1037.18,244.28
62,27250000000,0,4061e12,1089e12,48570000000000,2.498e-7,0,0,1037.18,240.54
63,24080000000,0,3586e12,961800000000000,42850000000000,2.206e-7,0,0,1037.18,236.81
64,21240000000,0,316e13,847200000000000,37670000000000,1.944e-7,0,0,1037.18,233.15
65,18690000000,0,2778e12,744300000000000,33040000000000,1.708e-7,0,0,1037.18,229.62
66,16400000000,0,2436e12,652300000000000,28900000000000,1.498e-7,0,0,1037.18,226.24
67,14360000000,0,2129e12,570100000000000,25210000000000,1.309e-7,0,0,1037.18,223.05
68,12530000000,0,1857e12,496800000000000,21930000000000,1.141e-7,0,0,1037.18,220.1
69,10900000000,0,1614e12,431700000000000,19020000000000,9.921e-8,0,0,1037.18,217.4
70,9461000000,0,1399e12,374000000000000,16450000000000,8.599e-8,0,0,1037.18,214.99
71,8185000000,0,1209e12,323100000000000,14180000000000,7.431e-8,0,0,1037.18,212.88
72,7061000000,0,1042e12,278300000000000,12190000000000,6.403e-8,0,0,1037.18,211.11
73,6065000000,33740000,893800000000000,238600000000000,10440000000000,5.491e-8,3465,64850,1037.18,209.7
74,5208000000,73590000,766300000000000,204400000000000,8933000000000,4.707e-8,11970,70240,1037.18,208.63
75,4465000000,157900000,655600000000000,174700000000000,7630000000000,4.026e-8,56290,76000,1037.18,207.86
76,3824000000,331600000,560000000000000,149100000000000,6506000000000,3.438e-8,314600,82180,1037.18,207.31
77,3272000000,678600000,477900000000000,127100000000000,5541000000000,2.933e-8,1706000,88830,1037.18,206.94
78,2800000000,1347000000,407500000000000,108200000000000,4714000000000,2.5e-8,7420000,96020,1037.18,206.68
79,2395000000,2585000000,347300000000000,92130000000000,4009000000000,2.13e-8,23210000,103800,1037.18,206.49
80,2051000000,4781000000,296000000000000,78390000000000,3407000000000,1.815e-8,51500000,112300,1037.18,206.31
81,1757000000,8507000000,252300000000000,66690000000000,2896000000000,1.546e-8,85140000,121500,1037.18,206.08
82,1507000000,14540000000,215100000000000,56740000000000,2462000000000,1.318e-8,112500000,131600,1037.18,205.76
83,1295000000,23850000000,183500000000000,48290000000000,2093000000000,1.123e-8,127100000,142600,1037.18,205.28
84,1114000000,37550000000,156600000000000,41100000000000,1780000000000,9.582e-9,129400000,154600,1037.18,204.61
85,960700000,56740000000,133800000000000,35000000000000,1514000000000,8.179e-9,123100000,167800,1037.18,203.7
86,830100000,82380000000,114300000000000,29810000000000,1288000000000,6.986e-9,112400000,182200,1037.18,202.5
87,719000000,115000000000,97790000000000,25390000000000,1096000000000,5.97e-9,100100000,198000,1037.18,200.97
88,624300000,154700000000,83690000000000,21630000000000,933100000000,5.105e-9,87940000,215300,1037.18,199.07
89,543500000,200800000000,71660000000000,18420000000000,793900000000,4.367e-9,76720000,234200,1037.18,196.79
90,474500000,251800000000,61370000000000,15680000000000,675100000000,3.737e-9,66770000,254800,1037.18,194.1
91,415400000,305900000000,52550000000000,13330000000000,573400000000,3.197e-9,58110000,277100,1037.18,191.03
92,364400000,360000000000,44930000000000,11310000000000,485800000000,2.731e-9,50650000,301000,1037.18,187.76
93,320100000,411200000000,38320000000000,9559000000000,410000000000,2.327e-9,44240000,326100,1037.18,184.5
94,281600000,456300000000,32560000000000,8040000000000,344300000000,1.976e-9,38720000,352200,1037.18,181.4
95,248000000,492700000000,27560000000000,6725000000000,287400000000,1.67e-9,33980000,378900,1037.18,178.63
96,218700000,518700000000,23210000000000,5589000000000,238300000000,1.405e-9,29910000,406000,1037.18,176.31
97,193300000,533200000000,19460000000000,4614000000000,196200000000,1.177e-9,26410000,433200,1037.18,174.56
98,171100000,536400000000,16220000000000,3782000000000,160300000000,9.799e-10,23380000,460400,1037.18,173.51
99,152000000,529100000000,13460000000000,3078000000000,129900000000,8.118e-10,20770000,487400,1037.18,173.27
100,135400000,512600000000,11110000000000,2487000000000,104500000000,6.691e-10,18490000,514000,1037.18,174
101,121000000,488700000000,9132000000000,1996000000000,83370000000,5.49e-10,16500000,540500,1037.18,175.82
102,108700000,459900000000,7481000000000,1593000000000,66140000000,4.49e-10,14750000,567200,1037.18,178.71
103,98080000,428200000000,6119000000000,1267000000000,52250000000,3.665e-10,13220000,594800,1037.18,182.64
104,88990000,395400000000,5003000000000,1005000000000,41150000000,2.991e-10,11870000,624000,1037.18,187.57
105,81170000,362700000000,4094000000000,795500000000,32370000000,2.443e-10,10670000,655300,1037.18,193.51
106,74410000,331000000000,3356000000000,629700000000,25460000000,1.999e-10,9607000,689200,1037.18,200.43
107,68540000,301100000000,2758000000000,498900000000,20060000000,1.64e-10,8659000,726200,1037.18,208.33
108,63400000,273200000000,2275000000000,396000000000,15840000000,1.351e-10,7811000,766900,1037.18,217.18
109,58880000,247500000000,1884000000000,315200000000,12550000000,1.117e-10,7051000,811800,1037.18,226.92
110,54890000,224200000000,1568000000000,251900000000,9994000000,9.29e-11,6371000,861700,1037.18,237.44
111,51360000,203300000000,1313000000000,202200000000,8005000000,7.77e-11,5762000,917300,1037.18,248.62
112,48200000,184400000000,1105000000000,163200000000,6449000000,6.537e-11,5216000,979100,1037.18,260.45
113,45350000,167500000000,935600000000,132300000000,5227000000,5.531e-11,4725000,1047000,1037.18,272.93
114,42760000,152300000000,796100000000,107900000000,4262000000,4.706e-11,4282000,1122000,1037.18,286.1
115,40380000,138700000000,681000000000,88430000000,3496000000,4.027e-11,3883000,1205000,1037.18,299.95
116,38190000,126400000000,585500000000,72890000000,2885000000,3.463e-11,3522000,1294000,1037.18,314.48
117,36150000,115400000000,505900000000,60420000000,2395000000,2.995e-11,3197000,1392000,1037.18,329.66
118,34250000,105600000000,439200000000,50390000000,2000000000,2.603e-11,2903000,1499000,1037.18,345.48
119,32470000,96720000000,383200000000,42280000000,1681000000,2.274e-11,2638000,1615000,1037.18,361.86
120,30790000,88790000000,336000000000,35700000000,1420000000,1.997e-11,2399000,1741000,1037.18,378.72
121,29220000,81710000000,296100000000,30330000000,1207000000,1.762e-11,2184000,1879000,1037.18,395.97
122,27740000,75370000000,262100000000,25950000000,1032000000,1.563e-11,1990000,2029000,1037.18,413.44
123,26340000,69690000000,233100000000,22340000000,887700000,1.393e-11,1815000,2192000,1099.58,431.16
124,25040000,64660000000,208500000000,19370000000,768400000,1.249e-11,1659000,2372000,1099.58,448.47
125,23830000,60210000000,187500000000,16920000000,669100000,1.126e-11,1519000,2569000,1099.58,465.32
126,22710000,56220000000,169400000000,14870000000,585900000,1.0190000000000001e-11,1393000,2786000,1099.58,481.74
127,21660000,52650000000,153600000000,13150000000,515600000,9.273e-12,1280000,3023000,1099.58,497.72
128,20690000,49430000000,139900000000,11690000000,455800000,8.468e-12,1178000,3280000,1099.58,513.29
129,19790000,46520000000,127900000000,10450000000,404700000,7.762e-12,1085000,3559000,1099.58,528.45
130,18970000,43870000000,117300000000,9384000000,360700000,7.139e-12,1002000,3860000,1099.58,543.21
131,18230000,41450000000,107900000000,8465000000,322600000,6.586e-12,925700,4185000,1099.58,557.59
132,17550000,39240000000,99480000000,7668000000,289600000,6.093e-12,856700,4534000,1099.58,571.59
133,16930000,37210000000,91990000000,6972000000,260700000,5.652e-12,794000,4907000,1099.58,585.22
134,16370000,35350000000,85270000000,6362000000,235400000,5.256e-12,736800,5306000,1099.58,598.5
135,15870000,33620000000,79220000000,5824000000,213200000,4.899e-12,684700,5732000,1099.58,611.43
136,15420000,32030000000,73750000000,5348000000,193500000,4.576e-12,637100,6184000,1099.58,624.03
137,15010000,30560000000,68790000000,4924000000,176100000,4.282e-12,593600,6664000,1099.58,636.3
138,14630000,29190000000,64280000000,4546000000,160600000,4.015e-12,553800,7171000,1099.58,648.24
139,14290000,27910000000,60170000000,4208000000,146800000,3.772e-12,517400,7705000,1099.58,659.88
140,13980000,26720000000,56420000000,3903000000,134400000,3.548e-12,484000,8268000,1099.58,671.21
141,13690000,25610000000,52980000000,3628000000,123400000,3.344e-12,453400,8858000,1099.58,682.24
142,13430000,24570000000,49820000000,3379000000,113400000,3.155e-12,425300,9475000,1099.58,692.99
143,13180000,23590000000,46910000000,3152000000,104400000,2.982e-12,399400,10120000,1099.58,703.46
144,12960000,22680000000,44230000000,2946000000,96310000,2.821e-12,375700,10790000,1099.58,713.65
145,12740000,21820000000,41750000000,2758000000,88970000,2.673e-12,353800,11490000,1099.58,723.58
146,12540000,21010000000,39450000000,2586000000,82310000,2.535e-12,333600,12210000,1099.58,733.25
147,12350000,20240000000,37330000000,2428000000,76260000,2.407e-12,315000,12960000,1099.58,742.67
148,12170000,19520000000,35350000000,2282000000,70740000,2.288e-12,297800,13730000,1099.58,751.85
149,12000000,18840000000,33510000000,2148000000,65710000,2.177e-12,281900,14520000,1099.58,760.78
150,11840000,18190000000,31800000000,2024000000,61120000,2.073e-12,267300,15330000,1099.58,769.49
151,11680000,17580000000,30200000000,1910000000,56910000,1.976e-12,253700,16160000,1099.58,777.97
152,11540000,17000000000,28710000000,1803000000,53050000,1.886e-12,241100,17000000,1099.58,786.22
153,11390000,16450000000,27310000000,1704000000,49500000,1.8e-12,229500,17870000,1099.58,794.27
154,11260000,15920000000,26000000000,1613000000,46240000,1.721e-12,218600,18740000,1099.58,802.1
155,11130000,15430000000,24770000000,1527000000,43240000,1.645e-12,208600,19630000,1099.58,809.73
156,11000000,14950000000,23610000000,1447000000,40470000,1.575e-12,199300,20530000,1099.58,817.16
157,10880000,14500000000,22530000000,1373000000,37910000,1.508e-12,190600,21430000,1099.58,824.4
158,10760000,14070000000,21510000000,1303000000,35550000,1.445e-12,182500,22340000,1099.58,831.46
159,10650000,13650000000,20540000000,1238000000,33360000,1.386e-12,175000,23250000,1099.58,838.33
160,10540000,13260000000,19640000000,1176000000,31330000,1.33e-12,167900,24170000,1099.58,845.02
161,10440000,12880000000,18770000000,1119000000,29450000,1.277e-12,161400,25080000,1099.58,851.54
162,10330000,12520000000,17960000000,1065000000,27700000,1.226e-12,155300,25990000,1099.58,857.89
163,10230000,12170000000,17200000000,1014000000,26070000,1.179e-12,149500,26890000,1099.58,864.07
164,10140000,11840000000,16470000000,966200000,24550000,1.134e-12,144200,27780000,1099.58,870.09
165,10040000,11520000000,15790000000,921100000,23140000,1.091e-12,139200,28670000,1099.58,875.96
166,9952000,11210000000,15140000000,878600000,21820000,1.05e-12,134500,29540000,1099.58,881.68
167,9863000,10920000000,14520000000,838400000,20590000,1.011e-12,130100,30400000,1099.58,887.25
168,9777000,10640000000,13930000000,800500000,19450000,9.746e-13,126000,31240000,1099.58,892.67
169,9693000,10360000000,13370000000,764600000,18370000,9.395e-13,122100,32070000,1099.58,897.96
170,9611000,10100000000,12840000000,730700000,17370000,9.061e-13,118500,32870000,1099.58,903.11
171,9531000,9848000000,12340000000,698600000,16420000,8.742e-13,115000,33660000,1099.58,908.12
172,9453000,9604000000,11860000000,668100000,15540000,8.438e-13,111800,34420000,1099.58,913.01
173,9377000,9369000000,11400000000,639200000,14710000,8.147e-13,108800,35150000,1099.58,917.77
174,9302000,9142000000,10970000000,611800000,13940000,7.869e-13,105900,35860000,1099.58,922.41
175,9230000,8923000000,10550000000,585800000,13210000,7.604e-13,103200,36550000,1099.58,926.92
176,9159000,8712000000,10160000000,561100000,12520000,7.35e-13,100700,37200000,1099.58,931.32
177,9089000,8507000000,9778000000,537600000,11870000,7.107e-13,98290,37830000,1099.58,935.61
178,9022000,8310000000,9416000000,515300000,11260000,6.874e-13,96030,38430000,1099.58,939.79
179,8955000,8118000000,9070000000,494000000,10690000,6.651e-13,93890,39000000,1099.58,943.86
180,8890000,7933000000,8740000000,473800000,10150000,6.437e-13,91860,39540000,1099.58,947.82
181,8827000,7754000000,8423000000,454500000,9642000,6.232e-13,89950,40040000,1099.58,951.68
182,8764000,7580000000,8121000000,436200000,9162000,6.036e-13,88130,40520000,1099.58,955.45
183,8703000,7412000000,7831000000,418700000,8708000,5.847e-13,86420,40960000,1099.58,959.11
184,8643000,7249000000,7553000000,402000000,8280000,5.665e-13,84790,41370000,1099.58,962.68
185,8584000,7090000000,7287000000,386000000,7875000,5.491e-13,83240,41740000,1099.58,966.16
186,8527000,6937000000,7032000000,370800000,7493000,5.323e-13,81780,42090000,1099.58,969.55
187,8470000,6787000000,6788000000,356300000,7131000,5.162e-13,80390,42400000,1099.58,972.86
188,8414000,6643000000,6553000000,342400000,6788000,5.007e-13,79070,42690000,1099.58,976.08
189,8360000,6502000000,6328000000,329200000,6464000,4.858e-13,77810,42940000,1099.58,979.21
190,8306000,6365000000,6111000000,316500000,6157000,4.714e-13,76620,43150000,1099.58,982.27
191,8253000,6233000000,5904000000,304400000,5866000,4.576e-13,75480,43340000,1099.58,985.24
192,8202000,6103000000,5704000000,292800000,5590000,4.442e-13,74400,43500000,1099.58,988.14
193,8151000,5978000000,5512000000,281700000,5329000,4.314e-13,73370,43630000,1099.58,990.97
194,8101000,5856000000,5328000000,271000000,5081000,4.19e-13,72390,43730000,1099.58,993.72
195,8051000,5737000000,5151000000,260800000,4845000,4.07e-13,71450,43800000,1099.58,996.41
